runID,mode,seedUsed,produced,good,bad,avgLead,avgTard,energy_kWh,co2_kg,energyPerPart_kWh,co2PerPart_kg,revenue_total,cost_total,tardPenalty_total,profit,cost_energy_calc,cost_material_calc,cost_labor_calc,cost_total_calc
539367,FLOW,1,42,42,0,608.0888,8.1161,95.037157,28.511147,2.262789,0.678837,3360.0000,443.7593,17.0438,2899.1969,23.7593,420.0000,0.0000,443.7593
543959,FLOW,1,38,38,0,621.2318,14.5124,94.078036,28.223411,2.475738,0.742721,3040.0000,403.5195,27.5736,2608.9069,23.5195,380.0000,0.0000,403.5195
546096,FLOW,1,50,50,0,641.7650,13.5719,115.328356,34.598507,2.306567,0.691970,4000.0000,528.8321,33.9298,3437.2381,28.8321,500.0000,0.0000,528.8321
548021,FLOW,1,41,41,0,615.4276,5.5426,93.250094,27.975028,2.274393,0.682318,3280.0000,433.3125,11.3624,2835.3251,23.3125,410.0000,0.0000,433.3125
549418,FLOW,1,45,45,0,594.2097,2.9200,95.984107,28.795232,2.132980,0.639894,3600.0000,473.9960,6.5700,3119.4339,23.9960,450.0000,0.0000,473.9960
550652,FLOW,1,56,56,0,611.7418,11.0756,120.251825,36.075547,2.147354,0.644206,4480.0000,590.0630,31.0118,3858.9253,30.0630,560.0000,0.0000,590.0630
551613,FLOW,1,51,51,0,636.7134,9.7158,113.614057,34.084217,2.227727,0.668318,4080.0000,538.4035,24.7752,3516.8212,28.4035,510.0000,0.0000,538.4035
552473,FLOW,1,45,45,0,622.6027,12.5581,107.361442,32.208433,2.385810,0.715743,3600.0000,476.8404,28.2557,3094.9040,26.8404,450.0000,0.0000,476.8404
553404,FLOW,1,51,51,0,636.8752,12.2038,114.985062,34.495519,2.254609,0.676383,4080.0000,538.7463,31.1196,3510.1341,28.7463,510.0000,0.0000,538.7463
554390,FLOW,1,49,49,0,599.5602,9.6174,113.661480,34.098444,2.319622,0.695887,3920.0000,518.4154,23.5627,3378.0219,28.4154,490.0000,0.0000,518.4154
555316,FLOW,1,45,45,0,609.4332,11.8482,98.819776,29.645933,2.195995,0.658799,3600.0000,474.7049,26.6584,3098.6367,24.7049,450.0000,0.0000,474.7049
556135,FLOW,1,40,40,0,625.3748,12.3900,99.050380,29.715114,2.476259,0.742878,3200.0000,424.7626,24.7800,2750.4574,24.7626,400.0000,0.0000,424.7626
556915,FLOW,1,43,43,0,608.4850,10.2948,96.477087,28.943126,2.243653,0.673096,3440.0000,454.1193,22.1337,2963.7470,24.1193,430.0000,0.0000,454.1193
557695,FLOW,1,35,35,0,572.4436,12.4599,78.986842,23.696053,2.256767,0.677030,2800.0000,369.7467,21.8049,2408.4484,19.7467,350.0000,0.0000,369.7467
558459,FLOW,1,44,44,0,678.1022,15.5513,96.099196,28.829759,2.184073,0.655222,3520.0000,464.0248,34.2129,3021.7623,24.0248,440.0000,0.0000,464.0248
559268,FLOW,1,49,49,0,628.3086,11.4975,114.848085,34.454425,2.343838,0.703152,3920.0000,518.7120,28.1689,3373.1191,28.7120,490.0000,0.0000,518.7120
560042,FLOW,1,48,48,0,613.2870,10.5310,109.514645,32.854394,2.281555,0.684467,3840.0000,507.3787,25.2744,3307.3470,27.3787,480.0000,0.0000,507.3787
560846,FLOW,1,51,51,0,655.5208,15.6235,119.591415,35.877425,2.344930,0.703479,4080.0000,539.8979,39.8398,3500.2623,29.8979,510.0000,0.0000,539.8979
561623,FLOW,1,55,55,0,617.1823,9.8469,116.952970,35.085891,2.126418,0.637925,4400.0000,579.2382,27.0789,3793.6829,29.2382,550.0000,0.0000,579.2382
562399,FLOW,1,49,49,0,641.2069,10.7800,108.187320,32.456196,2.207904,0.662371,3920.0000,517.0468,26.4110,3376.5421,27.0468,490.0000,0.0000,517.0468
563203,FLOW,1,41,41,0,663.0770,19.1387,101.591072,30.477322,2.477831,0.743349,3280.0000,435.3978,39.2344,2805.3678,25.3978,410.0000,0.0000,435.3978
563959,FLOW,1,51,51,0,649.5255,12.1236,122.370419,36.711126,2.399420,0.719826,4080.0000,540.5926,30.9151,3508.4923,30.5926,510.0000,0.0000,540.5926
564754,FLOW,1,44,44,0,640.9327,8.7831,96.073122,28.821937,2.183480,0.655044,3520.0000,464.0183,19.3228,3036.6589,24.0183,440.0000,0.0000,464.0183
565602,FLOW,1,50,50,0,626.2521,13.4241,108.736825,32.621048,2.174737,0.652421,4000.0000,527.1842,33.5602,3439.2556,27.1842,500.0000,0.0000,527.1842
566521,FLOW,1,47,47,0,624.6650,12.5383,104.908497,31.472549,2.232096,0.669629,3760.0000,496.2271,29.4651,3234.3078,26.2271,470.0000,0.0000,496.2271
567648,FLOW,1,51,51,0,635.0711,10.4307,109.296594,32.788978,2.143070,0.642921,4080.0000,537.3241,26.5984,3516.0775,27.3241,510.0000,0.0000,537.3241
568455,FLOW,1,47,47,0,663.1017,16.8723,112.706747,33.812024,2.398016,0.719405,3760.0000,498.1767,39.6500,3222.1733,28.1767,470.0000,0.0000,498.1767
569290,FLOW,1,44,44,0,583.7580,2.1562,102.232345,30.669703,2.323462,0.697039,3520.0000,465.5581,4.7436,3049.6983,25.5581,440.0000,0.0000,465.5581
570061,FLOW,1,50,50,0,637.7248,12.3363,117.090479,35.127144,2.341810,0.702543,4000.0000,529.2726,30.8407,3439.8867,29.2726,500.0000,0.0000,529.2726
570932,FLOW,1,42,42,0,632.1425,10.3618,107.644463,32.293339,2.562963,0.768889,3360.0000,446.9111,21.7597,2891.3292,26.9111,420.0000,0.0000,446.9111
