runID,mode,seedUsed,measuring,simT,machine,down,availability,opT,proc,ict,performance,quality,oee
258124,FLOW,1,1,700.000000,M1,695.000000,0.007143,5.000000,1050,7.500000,1.000000,1.000000,0.007143
258124,FLOW,1,1,700.000000,M2,0.000000,1.000000,700.000000,71,8.000000,0.811429,1.000000,0.811429
258124,FLOW,1,1,700.000000,M3,0.000000,1.000000,700.000000,56,10.000000,0.800000,1.000000,0.800000
258124,FLOW,1,1,700.000000,M4,5.000000,0.992857,695.000000,57,6.500000,0.533094,1.000000,0.529286
258124,FLOW,1,1,700.000000,M5,0.000000,1.000000,700.000000,46,9.000000,0.591429,1.000000,0.591429
258124,FLOW,1,1,700.000000,J1,0.000000,1.000000,700.000000,10,5.000000,0.071429,1.000000,0.071429
263389,FLOW,1,1,700.000000,M1,695.000000,0.007143,5.000000,1050,7.500000,1.000000,1.000000,0.007143
263389,FLOW,1,1,700.000000,M2,0.000000,1.000000,700.000000,66,8.000000,0.754286,1.000000,0.754286
263389,FLOW,1,1,700.000000,M3,0.000000,1.000000,700.000000,57,10.000000,0.814286,1.000000,0.814286
263389,FLOW,1,1,700.000000,M4,5.000000,0.992857,695.000000,60,6.500000,0.561151,1.000000,0.557143
263389,FLOW,1,1,700.000000,M5,0.000000,1.000000,700.000000,43,9.000000,0.552857,1.000000,0.552857
263389,FLOW,1,1,700.000000,J1,0.000000,1.000000,700.000000,14,5.000000,0.100000,1.000000,0.100000
265952,FLOW,1,1,700.000000,M1,695.000000,0.007143,5.000000,1050,7.500000,1.000000,1.000000,0.007143
265952,FLOW,1,1,700.000000,M2,0.000000,1.000000,700.000000,64,8.000000,0.731429,1.000000,0.731429
265952,FLOW,1,1,700.000000,M3,0.000000,1.000000,700.000000,70,10.000000,1.000000,1.000000,1.000000
265952,FLOW,1,1,700.000000,M4,5.000000,0.992857,695.000000,59,6.500000,0.551799,1.000000,0.547857
265952,FLOW,1,1,700.000000,M5,0.000000,1.000000,700.000000,44,9.000000,0.565714,1.000000,0.565714
265952,FLOW,1,1,700.000000,J1,0.000000,1.000000,700.000000,13,5.000000,0.092857,1.000000,0.092857
267783,FLOW,1,1,700.000000,M1,695.000000,0.007143,5.000000,1050,7.500000,1.000000,1.000000,0.007143
267783,FLOW,1,1,700.000000,M2,0.000000,1.000000,700.000000,69,8.000000,0.788571,1.000000,0.788571
267783,FLOW,1,1,700.000000,M3,0.000000,1.000000,700.000000,64,10.000000,0.914286,1.000000,0.914286
267783,FLOW,1,1,700.000000,M4,5.000000,0.992857,695.000000,56,6.500000,0.523741,1.000000,0.520000
267783,FLOW,1,1,700.000000,M5,0.000000,1.000000,700.000000,41,9.000000,0.527143,1.000000,0.527143
267783,FLOW,1,1,700.000000,J1,0.000000,1.000000,700.000000,17,5.000000,0.121429,1.000000,0.121429
269144,FLOW,1,1,700.000000,M1,695.000000,0.007143,5.000000,1050,7.500000,1.000000,1.000000,0.007143
269144,FLOW,1,1,700.000000,M2,0.000000,1.000000,700.000000,69,8.000000,0.788571,1.000000,0.788571
269144,FLOW,1,1,700.000000,M3,0.000000,1.000000,700.000000,66,10.000000,0.942857,1.000000,0.942857
269144,FLOW,1,1,700.000000,M4,5.000000,0.992857,695.000000,59,6.500000,0.551799,1.000000,0.547857
269144,FLOW,1,1,700.000000,M5,0.000000,1.000000,700.000000,37,9.000000,0.475714,1.000000,0.475714
269144,FLOW,1,1,700.000000,J1,0.000000,1.000000,700.000000,16,5.000000,0.114286,1.000000,0.114286
270363,FLOW,1,1,700.000000,M1,695.000000,0.007143,5.000000,1050,7.500000,1.000000,1.000000,0.007143
270363,FLOW,1,1,700.000000,M2,0.000000,1.000000,700.000000,70,8.000000,0.800000,1.000000,0.800000
270363,FLOW,1,1,700.000000,M3,0.000000,1.000000,700.000000,69,10.000000,0.985714,1.000000,0.985714
270363,FLOW,1,1,700.000000,M4,5.000000,0.992857,695.000000,50,6.500000,0.467626,1.000000,0.464286
270363,FLOW,1,1,700.000000,M5,0.000000,1.000000,700.000000,33,9.000000,0.424286,1.000000,0.424286
270363,FLOW,1,1,700.000000,J1,0.000000,1.000000,700.000000,19,5.000000,0.135714,1.000000,0.135714
271453,FLOW,1,1,700.000000,M1,695.000000,0.007143,5.000000,1050,7.500000,1.000000,1.000000,0.007143
271453,FLOW,1,1,700.000000,M2,0.000000,1.000000,700.000000,71,8.000000,0.811429,1.000000,0.811429
271453,FLOW,1,1,700.000000,M3,0.000000,1.000000,700.000000,43,10.000000,0.614286,1.000000,0.614286
271453,FLOW,1,1,700.000000,M4,5.000000,0.992857,695.000000,47,6.500000,0.439568,1.000000,0.436429
271453,FLOW,1,1,700.000000,M5,0.000000,1.000000,700.000000,31,9.000000,0.398571,1.000000,0.398571
271453,FLOW,1,1,700.000000,J1,0.000000,1.000000,700.000000,16,5.000000,0.114286,1.000000,0.114286
272404,FLOW,1,1,700.000000,M1,695.000000,0.007143,5.000000,1050,7.500000,1.000000,1.000000,0.007143
272404,FLOW,1,1,700.000000,M2,0.000000,1.000000,700.000000,70,8.000000,0.800000,1.000000,0.800000
272404,FLOW,1,1,700.000000,M3,0.000000,1.000000,700.000000,66,10.000000,0.942857,1.000000,0.942857
272404,FLOW,1,1,700.000000,M4,5.000000,0.992857,695.000000,58,6.500000,0.542446,1.000000,0.538571
272404,FLOW,1,1,700.000000,M5,0.000000,1.000000,700.000000,41,9.000000,0.527143,1.000000,0.527143
272404,FLOW,1,1,700.000000,J1,0.000000,1.000000,700.000000,15,5.000000,0.107143,1.000000,0.107143
273773,FLOW,1,1,700.000000,M1,695.000000,0.007143,5.000000,1050,7.500000,1.000000,1.000000,0.007143
273773,FLOW,1,1,700.000000,M2,0.000000,1.000000,700.000000,66,8.000000,0.754286,1.000000,0.754286
273773,FLOW,1,1,700.000000,M3,0.000000,1.000000,700.000000,68,10.000000,0.971429,1.000000,0.971429
273773,FLOW,1,1,700.000000,M4,5.000000,0.992857,695.000000,66,6.500000,0.617266,1.000000,0.612857
273773,FLOW,1,1,700.000000,M5,0.000000,1.000000,700.000000,43,9.000000,0.552857,1.000000,0.552857
273773,FLOW,1,1,700.000000,J1,0.000000,1.000000,700.000000,24,5.000000,0.171429,1.000000,0.171429
274624,FLOW,1,1,700.000000,M1,695.000000,0.007143,5.000000,1050,7.500000,1.000000,1.000000,0.007143
274624,FLOW,1,1,700.000000,M2,0.000000,1.000000,700.000000,62,8.000000,0.708571,1.000000,0.708571
274624,FLOW,1,1,700.000000,M3,0.000000,1.000000,700.000000,59,10.000000,0.842857,1.000000,0.842857
274624,FLOW,1,1,700.000000,M4,5.000000,0.992857,695.000000,56,6.500000,0.523741,1.000000,0.520000
274624,FLOW,1,1,700.000000,M5,0.000000,1.000000,700.000000,43,9.000000,0.552857,1.000000,0.552857
274624,FLOW,1,1,700.000000,J1,0.000000,1.000000,700.000000,12,5.000000,0.085714,1.000000,0.085714
275754,FLOW,1,1,700.000000,M1,695.000000,0.007143,5.000000,1050,7.500000,1.000000,1.000000,0.007143
275754,FLOW,1,1,700.000000,M2,0.000000,1.000000,700.000000,67,8.000000,0.765714,1.000000,0.765714
275754,FLOW,1,1,700.000000,M3,0.000000,1.000000,700.000000,69,10.000000,0.985714,1.000000,0.985714
275754,FLOW,1,1,700.000000,M4,5.000000,0.992857,695.000000,62,6.500000,0.579856,1.000000,0.575714
275754,FLOW,1,1,700.000000,M5,0.000000,1.000000,700.000000,44,9.000000,0.565714,1.000000,0.565714
275754,FLOW,1,1,700.000000,J1,0.000000,1.000000,700.000000,17,5.000000,0.121429,1.000000,0.121429
276547,FLOW,1,1,700.000000,M1,695.000000,0.007143,5.000000,1050,7.500000,1.000000,1.000000,0.007143
276547,FLOW,1,1,700.000000,M2,0.000000,1.000000,700.000000,68,8.000000,0.777143,1.000000,0.777143
276547,FLOW,1,1,700.000000,M3,0.000000,1.000000,700.000000,61,10.000000,0.871429,1.000000,0.871429
276547,FLOW,1,1,700.000000,M4,5.000000,0.992857,695.000000,62,6.500000,0.579856,1.000000,0.575714
276547,FLOW,1,1,700.000000,M5,0.000000,1.000000,700.000000,42,9.000000,0.540000,1.000000,0.540000
276547,FLOW,1,1,700.000000,J1,0.000000,1.000000,700.000000,18,5.000000,0.128571,1.000000,0.128571
277221,FLOW,1,1,700.000000,M1,695.000000,0.007143,5.000000,1050,7.500000,1.000000,1.000000,0.007143
277221,FLOW,1,1,700.000000,M2,0.000000,1.000000,700.000000,68,8.000000,0.777143,1.000000,0.777143
277221,FLOW,1,1,700.000000,M3,0.000000,1.000000,700.000000,65,10.000000,0.928571,1.000000,0.928571
