runID,mode,seedUsed,produced,good,bad,avgLead,avgTard,energy_kWh,co2_kg,energyPerPart_kWh,co2PerPart_kg,revenue_total,cost_total,tardPenalty_total,profit,cost_energy_calc,cost_material_calc,cost_labor_calc,cost_total_calc
118305,FLOW,1,43,43,0,630.1573,14.8714,99.332739,29.799822,2.310064,0.693019,3440.0000,454.8332,31.9735,2953.1933,24.8332,430.0000,0.0000,454.8332
122706,FLOW,1,48,48,0,635.4833,8.5488,117.473044,35.241913,2.447355,0.734207,3840.0000,509.3683,20.5170,3310.1147,29.3683,480.0000,0.0000,509.3683
125010,FLOW,1,36,36,0,688.0748,18.2121,81.721518,24.516456,2.270042,0.681013,2880.0000,380.4304,32.7819,2466.7878,20.4304,360.0000,0.0000,380.4304
127260,FLOW,1,38,38,0,625.3238,15.5511,84.671270,25.401381,2.228191,0.668457,3040.0000,401.1678,29.5471,2609.2851,21.1678,380.0000,0.0000,401.1678
129056,FLOW,1,47,47,0,628.4016,11.5279,106.485445,31.945633,2.265648,0.679694,3760.0000,496.6214,27.0905,3236.2881,26.6214,470.0000,0.0000,496.6214
130273,FLOW,1,48,48,0,629.8099,11.8052,110.015372,33.004612,2.291987,0.687596,3840.0000,507.5038,28.3324,3304.1638,27.5038,480.0000,0.0000,507.5038
131254,FLOW,1,50,50,0,594.3573,8.1410,107.604398,32.281319,2.152088,0.645626,4000.0000,526.9011,20.3524,3452.7465,26.9011,500.0000,0.0000,526.9011
132178,FLOW,1,51,51,0,592.3169,8.3459,114.084742,34.225423,2.236956,0.671087,4080.0000,538.5212,21.2821,3520.1967,28.5212,510.0000,0.0000,538.5212
133201,FLOW,1,41,41,0,636.9878,10.7975,99.105194,29.731558,2.417200,0.725160,3280.0000,434.7763,22.1349,2823.0888,24.7763,410.0000,0.0000,434.7763
134012,FLOW,1,37,37,0,645.8285,22.4156,85.237148,25.571145,2.303707,0.691112,2960.0000,391.3093,41.4689,2527.2218,21.3093,370.0000,0.0000,391.3093
135057,FLOW,1,46,46,0,643.6673,12.0186,104.569332,31.370800,2.273246,0.681974,3680.0000,486.1423,27.6428,3166.2149,26.1423,460.0000,0.0000,486.1423
135912,FLOW,1,44,44,0,615.2926,10.3979,110.718964,33.215689,2.516340,0.754902,3520.0000,467.6797,22.8753,3029.4450,27.6797,440.0000,0.0000,467.6797
136715,FLOW,1,37,37,0,696.6669,15.9670,78.017224,23.405167,2.108574,0.632572,2960.0000,389.5043,29.5389,2540.9568,19.5043,370.0000,0.0000,389.5043
137502,FLOW,1,41,41,0,666.5540,12.1825,89.782605,26.934782,2.189820,0.656946,3280.0000,432.4457,24.9740,2822.5803,22.4457,410.0000,0.0000,432.4457
138337,FLOW,1,38,38,0,590.0711,8.1941,86.173008,25.851902,2.267711,0.680313,3040.0000,401.5433,15.5688,2622.8879,21.5433,380.0000,0.0000,401.5433
139153,FLOW,1,49,49,0,629.4200,14.1957,107.594672,32.278402,2.195810,0.658743,3920.0000,516.8987,34.7794,3368.3219,26.8987,490.0000,0.0000,516.8987
140347,FLOW,1,50,50,0,623.4615,12.0357,115.296682,34.589005,2.305934,0.691780,4000.0000,528.8242,30.0893,3441.0865,28.8242,500.0000,0.0000,528.8242
141219,FLOW,1,47,47,0,628.3545,13.3640,104.225063,31.267519,2.217555,0.665266,3760.0000,496.0563,31.4053,3232.5384,26.0563,470.0000,0.0000,496.0563
141960,FLOW,1,40,40,0,600.0003,19.6633,86.583107,25.974932,2.164578,0.649373,3200.0000,421.6458,39.3267,2739.0275,21.6458,400.0000,0.0000,421.6458
142820,FLOW,1,52,52,0,634.1914,11.2946,120.168409,36.050523,2.310931,0.693279,4160.0000,550.0421,29.3659,3580.5920,30.0421,520.0000,0.0000,550.0421
143581,FLOW,1,50,50,0,631.0007,11.7270,114.911285,34.473385,2.298226,0.689468,4000.0000,528.7278,29.3175,3441.9547,28.7278,500.0000,0.0000,528.7278
144323,FLOW,1,47,47,0,609.4758,10.9885,108.074405,32.422321,2.299455,0.689837,3760.0000,497.0186,25.8229,3237.1585,27.0186,470.0000,0.0000,497.0186
145187,FLOW,1,37,37,0,670.1317,18.5482,80.500325,24.150098,2.175684,0.652705,2960.0000,390.1251,34.3142,2535.5607,20.1251,370.0000,0.0000,390.1251
145974,FLOW,1,50,50,0,603.0406,9.6990,105.793344,31.738003,2.115867,0.634760,4000.0000,526.4483,24.2476,3449.3041,26.4483,500.0000,0.0000,526.4483
146726,FLOW,1,37,37,0,694.2254,23.8551,81.196897,24.359069,2.194511,0.658353,2960.0000,390.2992,44.1319,2525.5689,20.2992,370.0000,0.0000,390.2992
147515,FLOW,1,48,48,0,657.8479,15.1830,109.259915,32.777974,2.276248,0.682874,3840.0000,507.3150,36.4392,3296.2458,27.3150,480.0000,0.0000,507.3150
148258,FLOW,1,38,38,0,572.3809,8.1166,81.908565,24.572570,2.155489,0.646647,3040.0000,400.4771,15.4215,2624.1013,20.4771,380.0000,0.0000,400.4771
149005,FLOW,1,51,51,0,636.3825,10.3267,117.628777,35.288633,2.306447,0.691934,4080.0000,539.4072,26.3331,3514.2597,29.4072,510.0000,0.0000,539.4072
149760,FLOW,1,49,49,0,633.4091,13.9601,112.523142,33.756943,2.296391,0.688917,3920.0000,518.1308,34.2022,3367.6671,28.1308,490.0000,0.0000,518.1308
150547,FLOW,1,57,57,0,623.4516,11.1122,123.463839,37.039152,2.166032,0.649810,4560.0000,600.8660,31.6698,3927.4642,30.8660,570.0000,0.0000,600.8660
