runID,mode,seedUsed,leadTime
669582,FLOW,1,297.914788
669582,FLOW,1,307.287837
669582,FLOW,1,315.558529
669582,FLOW,1,330.782983
669582,FLOW,1,338.088445
669582,FLOW,1,351.982367
669582,FLOW,1,377.706746
669582,FLOW,1,391.513944
669582,FLOW,1,397.674666
669582,FLOW,1,409.421165
669582,FLOW,1,415.417395
669582,FLOW,1,423.848373
669582,FLOW,1,434.729048
669582,FLOW,1,484.423840
669582,FLOW,1,494.914048
669582,FLOW,1,505.613896
669582,FLOW,1,522.612009
669582,FLOW,1,532.325318
669582,FLOW,1,542.929165
669582,FLOW,1,559.471950
669582,FLOW,1,589.162861
669582,FLOW,1,601.009626
669582,FLOW,1,616.368595
669582,FLOW,1,620.357539
669582,FLOW,1,636.262922
669582,FLOW,1,647.622421
669582,FLOW,1,663.376283
669582,FLOW,1,683.023757
669582,FLOW,1,700.175382
669582,FLOW,1,710.984529
669582,FLOW,1,733.009124
669582,FLOW,1,768.766876
669582,FLOW,1,781.440357
669582,FLOW,1,800.929009
669582,FLOW,1,801.556052
669582,FLOW,1,829.017126
669582,FLOW,1,848.681626
669582,FLOW,1,850.179939
669582,FLOW,1,877.141690
669582,FLOW,1,878.975537
669582,FLOW,1,889.501959
669582,FLOW,1,906.291044
669582,FLOW,1,908.771012
669582,FLOW,1,920.334536
669582,FLOW,1,929.989619
669582,FLOW,1,946.323801
