runID,mode,seedUsed,leadTime
570932,FLOW,1,309.643819
570932,FLOW,1,319.844277
570932,FLOW,1,328.250712
570932,FLOW,1,346.899699
570932,FLOW,1,356.279838
570932,FLOW,1,365.800916
570932,FLOW,1,391.365858
570932,FLOW,1,421.278419
570932,FLOW,1,424.610320
570932,FLOW,1,445.846680
570932,FLOW,1,467.245426
570932,FLOW,1,485.598152
570932,FLOW,1,501.077752
570932,FLOW,1,510.980553
570932,FLOW,1,524.364584
570932,FLOW,1,560.017347
570932,FLOW,1,569.175149
570932,FLOW,1,602.159425
570932,FLOW,1,598.748436
570932,FLOW,1,635.122034
570932,FLOW,1,643.006975
570932,FLOW,1,658.920032
570932,FLOW,1,661.139827
570932,FLOW,1,679.345677
570932,FLOW,1,680.054484
570932,FLOW,1,719.977621
570932,FLOW,1,720.467810
570932,FLOW,1,740.593838
570932,FLOW,1,756.755481
570932,FLOW,1,767.050789
570932,FLOW,1,776.975450
570932,FLOW,1,798.895488
570932,FLOW,1,804.250010
570932,FLOW,1,830.186887
570932,FLOW,1,832.859608
570932,FLOW,1,842.684648
570932,FLOW,1,875.048599
570932,FLOW,1,878.865880
570932,FLOW,1,894.556717
570932,FLOW,1,934.277991
570932,FLOW,1,932.865857
570932,FLOW,1,956.894339
