runID,mode,seedUsed,tardiness
288239,FLOW,1,0.000000
288239,FLOW,1,0.000000
288239,FLOW,1,0.000000
288239,FLOW,1,0.000000
288239,FLOW,1,0.000000
288239,FLOW,1,0.000000
288239,FLOW,1,0.000000
288239,FLOW,1,0.000000
288239,FLOW,1,0.000000
288239,FLOW,1,0.000000
288239,FLOW,1,0.000000
288239,FLOW,1,0.000000
288239,FLOW,1,0.000000
288239,FLOW,1,0.000000
288239,FLOW,1,0.000000
288239,FLOW,1,0.000000
288239,FLOW,1,0.000000
288239,FLOW,1,0.000000
288239,FLOW,1,0.000000
288239,FLOW,1,0.000000
288239,FLOW,1,0.000000
288239,FLOW,1,0.000000
288239,FLOW,1,0.000000
288239,FLOW,1,0.000000
288239,FLOW,1,0.000000
288239,FLOW,1,0.000000
288239,FLOW,1,0.000000
288239,FLOW,1,0.000000
288239,FLOW,1,0.000000
288239,FLOW,1,0.000000
288239,FLOW,1,0.000000
288239,FLOW,1,0.000000
288239,FLOW,1,0.000000
288239,FLOW,1,11.114758
288239,FLOW,1,21.806487
288239,FLOW,1,47.071773
288239,FLOW,1,57.867064
288239,FLOW,1,77.640004
