runID,mode,seedUsed,produced,good,bad,avgLead,avgTard,energy_kWh,co2_kg,energyPerPart_kWh,co2PerPart_kg,revenue_total,cost_total,tardPenalty_total,profit,cost_energy_calc,cost_material_calc,cost_labor_calc,cost_total_calc
61577,FLOW,1,46,46,0,629.9800,9.3601,109.877618,32.963285,2.388644,0.716593,3680.0000,487.4694,21.5282,3171.0024,27.4694,460.0000,0.0000,487.4694
67720,FLOW,1,44,44,0,652.1451,13.9902,108.043643,32.413093,2.455537,0.736661,3520.0000,467.0109,30.7784,3022.2107,27.0109,440.0000,0.0000,467.0109
70598,FLOW,1,43,43,0,657.0825,15.2130,101.698608,30.509582,2.365084,0.709525,3440.0000,455.4247,32.7079,2951.8675,25.4247,430.0000,0.0000,455.4247
72100,FLOW,1,45,45,0,663.1683,13.2191,97.619372,29.285812,2.169319,0.650796,3600.0000,474.4048,29.7430,3095.8522,24.4048,450.0000,0.0000,474.4048
73839,FLOW,1,40,40,0,599.7849,6.3190,86.163391,25.849017,2.154085,0.646225,3200.0000,421.5408,12.6380,2765.8212,21.5408,400.0000,0.0000,421.5408
75039,FLOW,1,39,39,0,608.7377,7.0910,88.533171,26.559951,2.270081,0.681024,3120.0000,412.1333,13.8274,2694.0393,22.1333,390.0000,0.0000,412.1333
75928,FLOW,1,46,46,0,589.4879,4.0399,97.309856,29.192957,2.115432,0.634629,3680.0000,484.3275,9.2919,3186.3807,24.3275,460.0000,0.0000,484.3275
76796,FLOW,1,33,33,0,614.0062,17.1786,76.193263,22.857979,2.308887,0.692666,2640.0000,349.0483,28.3448,2262.6069,19.0483,330.0000,0.0000,349.0483
77997,FLOW,1,44,44,0,624.5996,4.9818,101.770345,30.531103,2.312962,0.693889,3520.0000,465.4426,10.9599,3043.5976,25.4426,440.0000,0.0000,465.4426
78798,FLOW,1,44,44,0,625.4051,9.2289,96.781574,29.034472,2.199581,0.659874,3520.0000,464.1954,20.3036,3035.5010,24.1954,440.0000,0.0000,464.1954
79693,FLOW,1,42,42,0,685.6931,20.0012,96.131556,28.839467,2.288847,0.686654,3360.0000,444.0329,42.0025,2873.9646,24.0329,420.0000,0.0000,444.0329
80503,FLOW,1,41,41,0,626.2700,12.0156,97.335462,29.200639,2.374036,0.712211,3280.0000,434.3339,24.6319,2821.0342,24.3339,410.0000,0.0000,434.3339
81282,FLOW,1,43,43,0,638.5246,9.6074,96.167804,28.850341,2.236461,0.670938,3440.0000,454.0420,20.6559,2965.3021,24.0420,430.0000,0.0000,454.0420
82098,FLOW,1,34,34,0,636.3643,22.3707,89.870469,26.961141,2.643249,0.792975,2720.0000,362.4676,38.0301,2319.5022,22.4676,340.0000,0.0000,362.4676
82943,FLOW,1,45,45,0,631.3016,8.3498,99.039942,29.711983,2.200888,0.660266,3600.0000,474.7600,18.7870,3106.4530,24.7600,450.0000,0.0000,474.7600
83777,FLOW,1,36,36,0,600.1952,10.5368,85.731136,25.719341,2.381420,0.714426,2880.0000,381.4328,18.9662,2479.6010,21.4328,360.0000,0.0000,381.4328
84744,FLOW,1,38,38,0,603.5794,9.3845,81.447377,24.434213,2.143352,0.643006,3040.0000,400.3618,17.8306,2621.8075,20.3618,380.0000,0.0000,400.3618
85740,FLOW,1,47,47,0,654.8559,10.9838,115.245431,34.573629,2.452030,0.735609,3760.0000,498.8114,25.8120,3235.3767,28.8114,470.0000,0.0000,498.8114
86568,FLOW,1,44,44,0,638.7862,15.3611,103.641440,31.092432,2.355487,0.706646,3520.0000,465.9104,33.7945,3020.2951,25.9104,440.0000,0.0000,465.9104
87396,FLOW,1,40,40,0,666.2189,16.9202,89.946632,26.983990,2.248666,0.674600,3200.0000,422.4867,33.8404,2743.6729,22.4867,400.0000,0.0000,422.4867
88329,FLOW,1,41,41,0,626.7375,7.3185,88.715297,26.614589,2.163788,0.649136,3280.0000,432.1788,15.0030,2832.8182,22.1788,410.0000,0.0000,432.1788
89171,FLOW,1,49,49,0,628.4874,12.6968,107.585473,32.275642,2.195622,0.658687,3920.0000,516.8964,31.1071,3371.9966,26.8964,490.0000,0.0000,516.8964
90099,FLOW,1,44,44,0,612.6598,11.7750,94.139510,28.241853,2.139534,0.641860,3520.0000,463.5349,25.9051,3030.5600,23.5349,440.0000,0.0000,463.5349
90913,FLOW,1,52,52,0,635.7264,11.7278,109.655328,32.896598,2.108756,0.632627,4160.0000,547.4138,30.4924,3582.0938,27.4138,520.0000,0.0000,547.4138
91694,FLOW,1,44,44,0,650.9171,14.6739,100.349645,30.104893,2.280674,0.684202,3520.0000,465.0874,32.2827,3022.6299,25.0874,440.0000,0.0000,465.0874
92477,FLOW,1,43,43,0,655.4270,9.3177,99.865368,29.959610,2.322450,0.696735,3440.0000,454.9663,20.0331,2965.0006,24.9663,430.0000,0.0000,454.9663
93363,FLOW,1,48,48,0,625.5539,8.6187,108.498517,32.549555,2.260386,0.678116,3840.0000,507.1246,20.6850,3312.1904,27.1246,480.0000,0.0000,507.1246
94122,FLOW,1,45,45,0,589.0628,5.6980,94.601786,28.380536,2.102262,0.630679,3600.0000,473.6504,12.8204,3113.5291,23.6504,450.0000,0.0000,473.6504
95800,FLOW,1,53,53,0,617.8020,9.8051,112.922625,33.876788,2.130616,0.639185,4240.0000,558.2307,25.9835,3655.7858,28.2307,530.0000,0.0000,558.2307
96662,FLOW,1,41,41,0,679.9529,16.6334,99.512138,29.853641,2.427125,0.728138,3280.0000,434.8780,34.0985,2811.0235,24.8780,410.0000,0.0000,434.8780
