runID,mode,seedUsed,leadTime
150547,FLOW,1,291.337828
150547,FLOW,1,301.835159
150547,FLOW,1,319.125899
150547,FLOW,1,321.649696
150547,FLOW,1,341.069462
150547,FLOW,1,357.207043
150547,FLOW,1,363.848869
150547,FLOW,1,372.672437
150547,FLOW,1,381.553441
150547,FLOW,1,401.114805
150547,FLOW,1,408.596862
150547,FLOW,1,431.724750
150547,FLOW,1,432.017260
150547,FLOW,1,450.817798
150547,FLOW,1,461.386131
150547,FLOW,1,469.561775
150547,FLOW,1,480.652242
150547,FLOW,1,497.655688
150547,FLOW,1,501.898351
150547,FLOW,1,513.365726
150547,FLOW,1,521.918664
150547,FLOW,1,530.145198
150547,FLOW,1,540.309923
150547,FLOW,1,556.621690
150547,FLOW,1,571.209170
150547,FLOW,1,580.988636
150547,FLOW,1,589.991994
150547,FLOW,1,624.282483
150547,FLOW,1,634.378214
150547,FLOW,1,661.495458
150547,FLOW,1,653.433186
150547,FLOW,1,661.304774
150547,FLOW,1,670.980800
150547,FLOW,1,678.832444
150547,FLOW,1,687.269355
150547,FLOW,1,695.999730
150547,FLOW,1,707.827143
150547,FLOW,1,725.383095
150547,FLOW,1,735.350103
150547,FLOW,1,755.234692
150547,FLOW,1,765.709138
150547,FLOW,1,784.889972
150547,FLOW,1,794.798558
150547,FLOW,1,803.309746
150547,FLOW,1,812.519912
150547,FLOW,1,821.083005
150547,FLOW,1,838.989016
150547,FLOW,1,857.785835
150547,FLOW,1,858.387606
150547,FLOW,1,876.235180
150547,FLOW,1,880.968418
150547,FLOW,1,888.171668
150547,FLOW,1,909.370334
150547,FLOW,1,918.993784
150547,FLOW,1,938.636690
150547,FLOW,1,948.546675
150547,FLOW,1,956.300302
