runID,mode,seedUsed,machine,downFail,downPM,downFail_meas,downPM_meas
277908,FLOW,1,J1,0.000000,0.000000,0.000000,0.000000
278589,FLOW,1,M1,0.000000,980.000000,0.000000,695.000000
278589,FLOW,1,M2,0.000000,0.000000,0.000000,0.000000
278589,FLOW,1,M3,0.000000,0.000000,0.000000,0.000000
278589,FLOW,1,M4,0.000000,5.000000,0.000000,5.000000
278589,FLOW,1,M5,0.000000,0.000000,0.000000,0.000000
278589,FLOW,1,J1,0.000000,0.000000,0.000000,0.000000
279191,FLOW,1,M1,0.000000,980.000000,0.000000,695.000000
279191,FLOW,1,M2,0.000000,0.000000,0.000000,0.000000
279191,FLOW,1,M3,0.000000,0.000000,0.000000,0.000000
279191,FLOW,1,M4,0.000000,5.000000,0.000000,5.000000
279191,FLOW,1,M5,0.000000,0.000000,0.000000,0.000000
279191,FLOW,1,J1,0.000000,0.000000,0.000000,0.000000
279860,FLOW,1,M1,0.000000,980.000000,0.000000,695.000000
279860,FLOW,1,M2,0.000000,0.000000,0.000000,0.000000
279860,FLOW,1,M3,0.000000,0.000000,0.000000,0.000000
279860,FLOW,1,M4,0.000000,5.000000,0.000000,5.000000
279860,FLOW,1,M5,0.000000,0.000000,0.000000,0.000000
279860,FLOW,1,J1,0.000000,0.000000,0.000000,0.000000
280486,FLOW,1,M1,0.000000,980.000000,0.000000,695.000000
280486,FLOW,1,M2,0.000000,0.000000,0.000000,0.000000
280486,FLOW,1,M3,0.000000,0.000000,0.000000,0.000000
280486,FLOW,1,M4,0.000000,5.000000,0.000000,5.000000
280486,FLOW,1,M5,0.000000,0.000000,0.000000,0.000000
280486,FLOW,1,J1,0.000000,0.000000,0.000000,0.000000
281122,FLOW,1,M1,0.000000,980.000000,0.000000,695.000000
281122,FLOW,1,M2,0.000000,0.000000,0.000000,0.000000
281122,FLOW,1,M3,0.000000,0.000000,0.000000,0.000000
281122,FLOW,1,M4,0.000000,5.000000,0.000000,5.000000
281122,FLOW,1,M5,0.000000,0.000000,0.000000,0.000000
281122,FLOW,1,J1,0.000000,0.000000,0.000000,0.000000
281755,FLOW,1,M1,0.000000,980.000000,0.000000,695.000000
281755,FLOW,1,M2,0.000000,0.000000,0.000000,0.000000
281755,FLOW,1,M3,0.000000,0.000000,0.000000,0.000000
281755,FLOW,1,M4,0.000000,5.000000,0.000000,5.000000
281755,FLOW,1,M5,0.000000,0.000000,0.000000,0.000000
281755,FLOW,1,J1,0.000000,0.000000,0.000000,0.000000
282408,FLOW,1,M1,0.000000,980.000000,0.000000,695.000000
282408,FLOW,1,M2,0.000000,0.000000,0.000000,0.000000
282408,FLOW,1,M3,0.000000,0.000000,0.000000,0.000000
282408,FLOW,1,M4,0.000000,5.000000,0.000000,5.000000
282408,FLOW,1,M5,0.000000,0.000000,0.000000,0.000000
282408,FLOW,1,J1,0.000000,0.000000,0.000000,0.000000
283026,FLOW,1,M1,0.000000,980.000000,0.000000,695.000000
283026,FLOW,1,M2,0.000000,0.000000,0.000000,0.000000
283026,FLOW,1,M3,0.000000,0.000000,0.000000,0.000000
283026,FLOW,1,M4,0.000000,5.000000,0.000000,5.000000
283026,FLOW,1,M5,0.000000,0.000000,0.000000,0.000000
283026,FLOW,1,J1,0.000000,0.000000,0.000000,0.000000
283632,FLOW,1,M1,0.000000,980.000000,0.000000,695.000000
283632,FLOW,1,M2,0.000000,0.000000,0.000000,0.000000
283632,FLOW,1,M3,0.000000,0.000000,0.000000,0.000000
283632,FLOW,1,M4,0.000000,5.000000,0.000000,5.000000
283632,FLOW,1,M5,0.000000,0.000000,0.000000,0.000000
283632,FLOW,1,J1,0.000000,0.000000,0.000000,0.000000
284246,FLOW,1,M1,0.000000,980.000000,0.000000,695.000000
284246,FLOW,1,M2,0.000000,0.000000,0.000000,0.000000
284246,FLOW,1,M3,0.000000,0.000000,0.000000,0.000000
284246,FLOW,1,M4,0.000000,5.000000,0.000000,5.000000
284246,FLOW,1,M5,0.000000,0.000000,0.000000,0.000000
284246,FLOW,1,J1,0.000000,0.000000,0.000000,0.000000
284878,FLOW,1,M1,0.000000,980.000000,0.000000,695.000000
284878,FLOW,1,M2,0.000000,0.000000,0.000000,0.000000
284878,FLOW,1,M3,0.000000,0.000000,0.000000,0.000000
284878,FLOW,1,M4,0.000000,5.000000,0.000000,5.000000
284878,FLOW,1,M5,0.000000,0.000000,0.000000,0.000000
284878,FLOW,1,J1,0.000000,0.000000,0.000000,0.000000
285613,FLOW,1,M1,0.000000,980.000000,0.000000,695.000000
285613,FLOW,1,M2,0.000000,0.000000,0.000000,0.000000
285613,FLOW,1,M3,0.000000,0.000000,0.000000,0.000000
285613,FLOW,1,M4,0.000000,5.000000,0.000000,5.000000
285613,FLOW,1,M5,0.000000,0.000000,0.000000,0.000000
285613,FLOW,1,J1,0.000000,0.000000,0.000000,0.000000
286271,FLOW,1,M1,0.000000,980.000000,0.000000,695.000000
286271,FLOW,1,M2,0.000000,0.000000,0.000000,0.000000
286271,FLOW,1,M3,0.000000,0.000000,0.000000,0.000000
286271,FLOW,1,M4,0.000000,5.000000,0.000000,5.000000
286271,FLOW,1,M5,0.000000,0.000000,0.000000,0.000000
286271,FLOW,1,J1,0.000000,0.000000,0.000000,0.000000
286872,FLOW,1,M1,0.000000,980.000000,0.000000,695.000000
286872,FLOW,1,M2,0.000000,0.000000,0.000000,0.000000
286872,FLOW,1,M3,0.000000,0.000000,0.000000,0.000000
286872,FLOW,1,M4,0.000000,5.000000,0.000000,5.000000
286872,FLOW,1,M5,0.000000,0.000000,0.000000,0.000000
286872,FLOW,1,J1,0.000000,0.000000,0.000000,0.000000
287559,FLOW,1,M1,0.000000,980.000000,0.000000,695.000000
287559,FLOW,1,M2,0.000000,0.000000,0.000000,0.000000
287559,FLOW,1,M3,0.000000,0.000000,0.000000,0.000000
287559,FLOW,1,M4,0.000000,5.000000,0.000000,5.000000
287559,FLOW,1,M5,0.000000,0.000000,0.000000,0.000000
287559,FLOW,1,J1,0.000000,0.000000,0.000000,0.000000
288239,FLOW,1,M1,0.000000,980.000000,0.000000,695.000000
288239,FLOW,1,M2,0.000000,0.000000,0.000000,0.000000
288239,FLOW,1,M3,0.000000,0.000000,0.000000,0.000000
288239,FLOW,1,M4,0.000000,5.000000,0.000000,5.000000
288239,FLOW,1,M5,0.000000,0.000000,0.000000,0.000000
288239,FLOW,1,J1,0.000000,0.000000,0.000000,0.000000
