runID,mode,seedUsed,produced,good,bad,avgLead,avgTard,energy_kWh,co2_kg,energyPerPart_kWh,co2PerPart_kg,revenue_total,cost_total,tardPenalty_total,profit,cost_energy_calc,cost_material_calc,cost_labor_calc,cost_total_calc
258124,FLOW,1,46,46,0,618.3844,9.1357,100.290055,30.087017,2.180219,0.654066,3680.0000,485.0725,21.0121,3173.9154,25.0725,460.0000,0.0000,485.0725
263389,FLOW,1,43,43,0,670.6335,17.8035,99.739239,29.921772,2.319517,0.695855,3440.0000,454.9348,38.2775,2946.7877,24.9348,430.0000,0.0000,454.9348
265952,FLOW,1,44,44,0,626.3403,15.3704,96.198571,28.859571,2.186331,0.655899,3520.0000,464.0496,33.8148,3022.1355,24.0496,440.0000,0.0000,464.0496
267783,FLOW,1,41,41,0,593.5391,6.9774,93.105962,27.931789,2.270877,0.681263,3280.0000,433.2765,14.3037,2832.4198,23.2765,410.0000,0.0000,433.2765
269144,FLOW,1,40,40,0,582.3730,2.3471,93.248531,27.974559,2.331213,0.699364,3200.0000,423.3121,4.6941,2771.9937,23.3121,400.0000,0.0000,423.3121
270363,FLOW,1,34,34,0,539.4774,0.2589,75.578888,22.673666,2.222908,0.666873,2720.0000,358.8947,0.4401,2360.6652,18.8947,340.0000,0.0000,358.8947
271453,FLOW,1,31,31,0,645.0799,7.4944,74.529888,22.358966,2.404190,0.721257,2480.0000,328.6325,11.6163,2139.7512,18.6325,310.0000,0.0000,328.6325
272404,FLOW,1,42,42,0,596.8859,6.4246,95.043934,28.513180,2.262951,0.678885,3360.0000,443.7610,13.4916,2902.7474,23.7610,420.0000,0.0000,443.7610
273773,FLOW,1,43,43,0,602.7554,6.3320,103.923234,31.176970,2.416819,0.725046,3440.0000,455.9808,13.6138,2970.4054,25.9808,430.0000,0.0000,455.9808
274624,FLOW,1,43,43,0,610.9668,10.8578,96.709359,29.012808,2.249055,0.674716,3440.0000,454.1773,23.3443,2962.4784,24.1773,430.0000,0.0000,454.1773
275754,FLOW,1,46,46,0,611.6655,8.3645,100.029443,30.008833,2.174553,0.652366,3680.0000,485.0074,19.2384,3175.7543,25.0074,460.0000,0.0000,485.0074
276547,FLOW,1,42,42,0,637.2398,17.9441,97.534624,29.260387,2.322253,0.696676,3360.0000,444.3837,37.6825,2877.9338,24.3837,420.0000,0.0000,444.3837
277221,FLOW,1,26,26,0,519.9244,10.7576,60.151607,18.045482,2.313523,0.694057,2080.0000,275.0379,13.9848,1790.9773,15.0379,260.0000,0.0000,275.0379
277908,FLOW,1,51,51,0,589.2302,11.7025,109.142086,32.742626,2.140041,0.642012,4080.0000,537.2855,29.8414,3512.8731,27.2855,510.0000,0.0000,537.2855
278589,FLOW,1,52,52,0,598.3988,10.6695,116.667077,35.000123,2.243598,0.673079,4160.0000,549.1668,27.7407,3583.0925,29.1668,520.0000,0.0000,549.1668
279191,FLOW,1,39,39,0,622.7401,8.9868,90.691935,27.207580,2.325434,0.697630,3120.0000,412.6730,17.5243,2689.8027,22.6730,390.0000,0.0000,412.6730
279860,FLOW,1,37,37,0,646.3222,12.1238,85.806038,25.741811,2.319082,0.695725,2960.0000,391.4515,22.4290,2546.1195,21.4515,370.0000,0.0000,391.4515
280486,FLOW,1,39,39,0,645.1366,8.2530,91.738468,27.521540,2.352268,0.705681,3120.0000,412.9346,16.0933,2690.9720,22.9346,390.0000,0.0000,412.9346
281122,FLOW,1,43,43,0,667.6817,15.9372,99.236565,29.770969,2.307827,0.692348,3440.0000,454.8091,34.2649,2950.9259,24.8091,430.0000,0.0000,454.8091
281755,FLOW,1,27,27,0,695.5325,13.1196,57.280422,17.184127,2.121497,0.636449,2160.0000,284.3201,17.7114,1857.9685,14.3201,270.0000,0.0000,284.3201
282408,FLOW,1,36,36,0,641.3092,12.9279,82.841918,24.852575,2.301164,0.690349,2880.0000,380.7105,23.2702,2476.0193,20.7105,360.0000,0.0000,380.7105
283026,FLOW,1,39,39,0,618.1447,3.4886,86.672856,26.001857,2.222381,0.666714,3120.0000,411.6682,6.8028,2701.5290,21.6682,390.0000,0.0000,411.6682
283632,FLOW,1,43,43,0,647.9226,17.6480,96.494391,28.948317,2.244056,0.673217,3440.0000,454.1236,37.9431,2947.9333,24.1236,430.0000,0.0000,454.1236
284246,FLOW,1,25,25,0,738.6729,38.6826,60.240427,18.072128,2.409617,0.722885,2000.0000,265.0601,48.3533,1686.5866,15.0601,250.0000,0.0000,265.0601
284878,FLOW,1,37,37,0,679.8150,8.3893,81.916232,24.574870,2.213952,0.664186,2960.0000,390.4791,15.5201,2554.0008,20.4791,370.0000,0.0000,390.4791
285613,FLOW,1,27,27,0,585.2608,7.9209,55.952525,16.785757,2.072316,0.621695,2160.0000,283.9881,10.6932,1865.3187,13.9881,270.0000,0.0000,283.9881
286271,FLOW,1,44,44,0,653.3449,15.0134,100.525633,30.157690,2.284673,0.685402,3520.0000,465.1314,33.0294,3021.8392,25.1314,440.0000,0.0000,465.1314
286872,FLOW,1,45,45,0,620.9538,9.6406,96.427558,28.928267,2.142835,0.642850,3600.0000,474.1069,21.6913,3104.2018,24.1069,450.0000,0.0000,474.1069
287559,FLOW,1,42,42,0,689.2192,15.2757,100.461351,30.138405,2.391937,0.717581,3360.0000,445.1153,32.0789,2882.8057,25.1153,420.0000,0.0000,445.1153
288239,FLOW,1,38,38,0,599.0517,5.6711,90.627284,27.188185,2.384929,0.715479,3040.0000,402.6568,10.7750,2626.5682,22.6568,380.0000,0.0000,402.6568
