runID,mode,seedUsed,leadTime
288239,FLOW,1,301.295633
288239,FLOW,1,310.650466
288239,FLOW,1,326.193818
288239,FLOW,1,348.165022
288239,FLOW,1,375.250296
288239,FLOW,1,389.648460
288239,FLOW,1,405.234693
288239,FLOW,1,419.922294
288239,FLOW,1,426.114179
288239,FLOW,1,436.785742
288239,FLOW,1,453.260922
288239,FLOW,1,467.771977
288239,FLOW,1,472.531388
288239,FLOW,1,503.289371
288239,FLOW,1,526.602039
288239,FLOW,1,544.812532
288239,FLOW,1,555.138235
288239,FLOW,1,580.047207
288239,FLOW,1,584.308561
288239,FLOW,1,594.839574
288239,FLOW,1,603.945935
288239,FLOW,1,663.131744
288239,FLOW,1,667.833034
288239,FLOW,1,676.585761
288239,FLOW,1,685.473358
288239,FLOW,1,701.542490
288239,FLOW,1,725.474784
288239,FLOW,1,721.063801
288239,FLOW,1,739.250225
288239,FLOW,1,751.525123
288239,FLOW,1,779.292168
288239,FLOW,1,780.373314
288239,FLOW,1,831.112028
288239,FLOW,1,851.114758
288239,FLOW,1,861.806487
288239,FLOW,1,887.071773
288239,FLOW,1,897.867064
288239,FLOW,1,917.640004
