runID,mode,seedUsed,measuring,simT,machine,down,availability,opT,proc,ict,performance,quality,oee
797297,FLOW,1,1,700.000000,M1,180.000000,0.742857,520.000000,1400,7.500000,1.000000,1.000000,0.742857
797297,FLOW,1,1,700.000000,M2,15.000000,0.978571,685.000000,64,8.000000,0.747445,1.000000,0.731429
797297,FLOW,1,1,700.000000,M3,20.000000,0.971429,680.000000,68,10.000000,1.000000,1.000000,0.971429
797297,FLOW,1,1,700.000000,M4,0.000000,1.000000,700.000000,66,6.500000,0.612857,1.000000,0.612857
797297,FLOW,1,1,700.000000,M5,25.000000,0.964286,675.000000,42,9.000000,0.560000,1.000000,0.540000
797297,FLOW,1,1,700.000000,J1,0.000000,1.000000,700.000000,24,5.000000,0.171429,1.000000,0.171429
798086,FLOW,1,1,700.000000,M1,175.272983,0.749610,524.727017,1404,7.500000,1.000000,1.000000,0.749610
798086,FLOW,1,1,700.000000,M2,15.000000,0.978571,685.000000,66,8.000000,0.770803,1.000000,0.754286
798086,FLOW,1,1,700.000000,M3,20.000000,0.971429,680.000000,68,10.000000,1.000000,1.000000,0.971429
798086,FLOW,1,1,700.000000,M4,0.000000,1.000000,700.000000,68,6.500000,0.631429,1.000000,0.631429
798086,FLOW,1,1,700.000000,M5,25.000000,0.964286,675.000000,45,9.000000,0.600000,1.000000,0.578571
798086,FLOW,1,1,700.000000,J1,0.000000,1.000000,700.000000,19,5.000000,0.135714,1.000000,0.135714
798900,FLOW,1,1,700.000000,M1,180.000000,0.742857,520.000000,1400,7.500000,1.000000,1.000000,0.742857
798900,FLOW,1,1,700.000000,M2,15.000000,0.978571,685.000000,63,8.000000,0.735766,1.000000,0.720000
798900,FLOW,1,1,700.000000,M3,20.000000,0.971429,680.000000,68,10.000000,1.000000,1.000000,0.971429
798900,FLOW,1,1,700.000000,M4,0.000000,1.000000,700.000000,64,6.500000,0.594286,1.000000,0.594286
798900,FLOW,1,1,700.000000,M5,25.000000,0.964286,675.000000,42,9.000000,0.560000,1.000000,0.540000
798900,FLOW,1,1,700.000000,J1,0.000000,1.000000,700.000000,21,5.000000,0.150000,1.000000,0.150000
799783,FLOW,1,1,700.000000,M1,180.000000,0.742857,520.000000,1400,7.500000,1.000000,1.000000,0.742857
799783,FLOW,1,1,700.000000,M2,15.000000,0.978571,685.000000,64,8.000000,0.747445,1.000000,0.731429
799783,FLOW,1,1,700.000000,M3,20.000000,0.971429,680.000000,68,10.000000,1.000000,1.000000,0.971429
799783,FLOW,1,1,700.000000,M4,0.000000,1.000000,700.000000,68,6.500000,0.631429,1.000000,0.631429
799783,FLOW,1,1,700.000000,M5,25.000000,0.964286,675.000000,49,9.000000,0.653333,1.000000,0.630000
799783,FLOW,1,1,700.000000,J1,0.000000,1.000000,700.000000,21,5.000000,0.150000,1.000000,0.150000
