runID,mode,seedUsed,measuring,simT,machine,down,availability,opT,proc,ict,performance,quality,oee
61577,FLOW,1,1,700.000000,M1,605.000000,0.135714,95.000000,1320,7.500000,1.000000,1.000000,0.135714
61577,FLOW,1,1,700.000000,M2,0.000000,1.000000,700.000000,70,8.000000,0.800000,1.000000,0.800000
61577,FLOW,1,1,700.000000,M3,0.000000,1.000000,700.000000,64,10.000000,0.914286,1.000000,0.914286
61577,FLOW,1,1,700.000000,M4,0.000000,1.000000,700.000000,68,6.500000,0.631429,1.000000,0.631429
61577,FLOW,1,1,700.000000,M5,120.000000,0.828571,580.000000,46,9.000000,0.713793,1.000000,0.591429
61577,FLOW,1,1,700.000000,J1,0.000000,1.000000,700.000000,15,5.000000,0.107143,1.000000,0.107143
67720,FLOW,1,1,700.000000,M1,605.000000,0.135714,95.000000,1320,7.500000,1.000000,1.000000,0.135714
67720,FLOW,1,1,700.000000,M2,0.000000,1.000000,700.000000,70,8.000000,0.800000,1.000000,0.800000
67720,FLOW,1,1,700.000000,M3,0.000000,1.000000,700.000000,63,10.000000,0.900000,1.000000,0.900000
67720,FLOW,1,1,700.000000,M4,0.000000,1.000000,700.000000,68,6.500000,0.631429,1.000000,0.631429
67720,FLOW,1,1,700.000000,M5,80.000000,0.885714,620.000000,43,9.000000,0.624194,1.000000,0.552857
67720,FLOW,1,1,700.000000,J1,0.000000,1.000000,700.000000,23,5.000000,0.164286,1.000000,0.164286
70598,FLOW,1,1,700.000000,M1,605.000000,0.135714,95.000000,1320,7.500000,1.000000,1.000000,0.135714
70598,FLOW,1,1,700.000000,M2,0.000000,1.000000,700.000000,69,8.000000,0.788571,1.000000,0.788571
70598,FLOW,1,1,700.000000,M3,0.000000,1.000000,700.000000,63,10.000000,0.900000,1.000000,0.900000
70598,FLOW,1,1,700.000000,M4,0.000000,1.000000,700.000000,63,6.500000,0.585000,1.000000,0.585000
70598,FLOW,1,1,700.000000,M5,80.000000,0.885714,620.000000,43,9.000000,0.624194,1.000000,0.552857
