runID,mode,seedUsed,machine,downFail,downPM,downFail_meas,downPM_meas
61577,FLOW,1,M1,0.000000,825.000000,0.000000,605.000000
61577,FLOW,1,M2,0.000000,0.000000,0.000000,0.000000
61577,FLOW,1,M3,0.000000,0.000000,0.000000,0.000000
61577,FLOW,1,M4,0.000000,0.000000,0.000000,0.000000
61577,FLOW,1,M5,0.000000,120.000000,0.000000,120.000000
61577,FLOW,1,J1,0.000000,0.000000,0.000000,0.000000
67720,FLOW,1,M1,0.000000,825.000000,0.000000,605.000000
67720,FLOW,1,M2,0.000000,0.000000,0.000000,0.000000
67720,FLOW,1,M3,0.000000,0.000000,0.000000,0.000000
67720,FLOW,1,M4,0.000000,0.000000,0.000000,0.000000
67720,FLOW,1,M5,0.000000,80.000000,0.000000,80.000000
67720,FLOW,1,J1,0.000000,0.000000,0.000000,0.000000
70598,FLOW,1,M1,0.000000,825.000000,0.000000,605.000000
70598,FLOW,1,M2,0.000000,0.000000,0.000000,0.000000
70598,FLOW,1,M3,0.000000,0.000000,0.000000,0.000000
70598,FLOW,1,M4,0.000000,0.000000,0.000000,0.000000
70598,FLOW,1,M5,0.000000,80.000000,0.000000,80.000000
70598,FLOW,1,J1,0.000000,0.000000,0.000000,0.000000
72100,FLOW,1,M1,0.000000,825.000000,0.000000,605.000000
72100,FLOW,1,M2,0.000000,0.000000,0.000000,0.000000
72100,FLOW,1,M3,0.000000,0.000000,0.000000,0.000000
72100,FLOW,1,M4,0.000000,0.000000,0.000000,0.000000
72100,FLOW,1,M5,0.000000,80.000000,0.000000,80.000000
72100,FLOW,1,J1,0.000000,0.000000,0.000000,0.000000
73839,FLOW,1,M1,0.000000,825.000000,0.000000,605.000000
73839,FLOW,1,M2,0.000000,0.000000,0.000000,0.000000
73839,FLOW,1,M3,0.000000,0.000000,0.000000,0.000000
73839,FLOW,1,M4,0.000000,0.000000,0.000000,0.000000
73839,FLOW,1,M5,0.000000,120.000000,0.000000,106.524096
73839,FLOW,1,J1,0.000000,0.000000,0.000000,0.000000
75039,FLOW,1,M1,0.000000,825.000000,0.000000,605.000000
75039,FLOW,1,M2,0.000000,0.000000,0.000000,0.000000
75039,FLOW,1,M3,0.000000,0.000000,0.000000,0.000000
75039,FLOW,1,M4,0.000000,0.000000,0.000000,0.000000
75039,FLOW,1,M5,0.000000,80.000000,0.000000,80.000000
75039,FLOW,1,J1,0.000000,0.000000,0.000000,0.000000
75928,FLOW,1,M1,0.000000,825.000000,0.000000,605.000000
75928,FLOW,1,M2,0.000000,0.000000,0.000000,0.000000
75928,FLOW,1,M3,0.000000,0.000000,0.000000,0.000000
75928,FLOW,1,M4,0.000000,0.000000,0.000000,0.000000
75928,FLOW,1,M5,0.000000,120.000000,0.000000,116.740407
75928,FLOW,1,J1,0.000000,0.000000,0.000000,0.000000
