scenario,iter,profit,produced,good,th_per_hr,epp,J
S4_weighted,0,2053.1547,30,30,2.571429,2.292696,2946.276578
S4_weighted,1,3101.6298,45,45,3.857143,2.127865,4445.246189
S4_weighted,2,2537.9737,37,37,3.171429,2.443419,3640.643446
S4_weighted,3,2626.4357,38,38,3.257143,2.317218,3759.484080
S4_weighted,4,2215.0557,32,32,2.742857,2.372588,3167.937980
S4_weighted,5,2611.3036,38,38,3.257143,2.350893,3744.250873
S4_weighted,6,2623.3785,38,38,3.257143,2.256275,3756.609716
S4_weighted,7,2753.4216,40,40,3.428571,2.214121,3946.779260
S4_weighted,8,2194.9923,32,32,2.742857,2.428747,3147.706059
S4_weighted,9,3713.7946,54,54,4.628571,2.165885,5327.296940
S4_weighted,10,2335.6332,34,34,2.914286,2.176183,3349.104634
S4_weighted,11,2283.6308,33,33,2.828571,2.230431,3266.939494
S4_weighted,12,2608.5835,38,38,3.257143,2.412467,3741.346070
S4_weighted,13,3360.5647,49,49,4.200000,2.337311,4823.552815
S4_weighted,14,3176.5697,46,46,3.942857,2.256116,4549.801389
S4_weighted,15,2899.4600,42,42,3.600000,2.281340,4152.615971
S4_weighted,16,2257.5955,33,33,2.828571,2.284782,3240.741126
S4_weighted,17,2483.9445,36,36,3.085714,2.142417,3557.517231
S4_weighted,18,3296.0551,48,48,4.114286,2.513811,4728.513630
S4_weighted,19,3310.4111,48,48,4.114286,2.258401,4743.635898
S4_weighted,20,2740.1969,40,40,3.428571,2.030734,3934.104715
S4_weighted,21,3378.4455,49,49,4.200000,2.161736,4841.960314
S4_weighted,22,3640.1481,53,53,4.542857,2.172610,5223.630230
S4_weighted,23,3308.4022,48,48,4.114286,2.288756,4741.535973
S4_weighted,24,3571.7897,52,52,4.457143,2.151942,5125.333846
S4_weighted,25,1944.7016,28,28,2.400000,2.185491,2778.145086
S4_weighted,26,2333.6076,34,34,2.914286,2.230528,3346.916037
S4_weighted,27,3449.7565,50,50,4.285714,2.255194,4942.990905
S4_weighted,28,2903.8818,42,42,3.600000,2.222403,4157.214573
S4_weighted,29,3372.6525,49,49,4.200000,2.273914,4835.830754
S4_weighted,30,2538.5354,37,37,3.171429,2.213342,3641.895350
S4_weighted,31,2881.9855,42,42,3.600000,2.409389,4134.757328
S4_weighted,32,2691.7979,39,39,3.342857,2.275229,3854.972214
S4_weighted,33,3312.8996,48,48,4.114286,2.160374,4746.418436
S4_weighted,34,2751.8361,40,40,3.428571,2.366460,3944.736735
S4_weighted,35,3577.5668,52,52,4.457143,2.204919,5130.952003
S4_weighted,36,3182.6590,46,46,3.942857,2.286677,4555.798928
S4_weighted,37,2064.4432,30,30,2.571429,2.193123,2957.863784
S4_weighted,38,2674.2615,39,39,3.342857,2.226312,3837.582595
S4_weighted,39,3310.6258,48,48,4.114286,2.362431,4743.538496
S4_weighted,40,3030.8734,44,44,3.771429,2.242133,4344.147019
S4_weighted,41,3324.3582,48,48,4.114286,2.090967,4758.085251
S4_weighted,42,2684.6475,39,39,3.342857,2.299040,3847.750406
S4_weighted,43,3512.2675,51,51,4.371429,2.297998,5035.373487
S4_weighted,44,3230.0532,47,47,4.028571,2.422078,4632.787006
S4_weighted,45,3436.6798,50,50,4.285714,2.237137,4929.968353
S4_weighted,46,2476.4386,36,36,3.085714,2.150407,3549.987386
S4_weighted,47,3654.1749,53,53,4.542857,2.142156,5237.748482
S4_weighted,48,2949.7165,43,43,3.685714,2.427353,4232.434392
S4_weighted,49,3234.5567,47,47,4.028571,2.222252,4637.889962
S4_weighted,50,2880.0243,42,42,3.600000,2.469115,4132.616966
S4_weighted,51,3380.9724,49,49,4.200000,2.191047,4844.399277
S4_weighted,52,2485.8128,36,36,3.085714,2.372334,3558.695845
S4_weighted,53,3582.3503,52,52,4.457143,2.242721,5135.622099
S4_weighted,54,2409.3500,35,35,3.000000,2.237039,3452.638902
S4_weighted,55,3577.5668,52,52,4.457143,2.204919,5130.952003
S4_weighted,56,3508.8173,51,51,4.371429,2.211230,5032.183618
S4_weighted,57,3165.5815,46,46,3.942857,2.148923,4539.134716
S4_weighted,58,3236.4186,47,47,4.028571,2.204597,4639.804774
S4_weighted,59,3102.2420,45,45,3.857143,2.200841,4445.639490
S4_weighted,60,3238.5536,47,47,4.028571,2.239807,4641.834133
S4_weighted,61,3236.4186,47,47,4.028571,2.204597,4639.804774
S4_weighted,62,3713.7946,54,54,4.628571,2.165885,5327.296940
S4_weighted,63,3375.2591,49,49,4.200000,2.193917,4838.677321
S4_weighted,64,3380.0771,49,49,4.200000,2.297241,4843.185421
S4_weighted,65,3442.9860,50,50,4.285714,2.170209,4936.475372
S4_weighted,66,2277.8778,33,33,2.828571,2.231273,3261.184016
S4_weighted,67,3441.3413,50,50,4.285714,2.168517,4934.835751
S4_weighted,68,3854.7000,56,56,4.800000,2.177419,5528.167695
S4_weighted,69,3713.7946,54,54,4.628571,2.165885,5327.296940
S4_weighted,70,3713.7946,54,54,4.628571,2.165885,5327.296940
S4_weighted,71,3586.9112,52,52,4.457143,2.130166,5140.520678
S4_weighted,72,3713.7946,54,54,4.628571,2.165885,5327.296940
S4_weighted,73,3514.2226,51,51,4.371429,2.171701,5037.707482
S4_weighted,74,3172.3015,46,46,3.942857,2.233410,4545.601290
S4_weighted,75,3032.3100,44,44,3.771429,2.142581,4345.882259
