scenario,iter,profit,produced,good,th_per_hr,epp,J
S2_profit_plus_good,81,3309.2524,48,48,4.114286,2.217072,4029.252438
S2_profit_plus_good,82,3854.7000,56,56,4.800000,2.177419,4694.699951
S2_profit_plus_good,83,3096.1744,45,45,3.857143,2.258638,3771.174426
S2_profit_plus_good,84,3854.7000,56,56,4.800000,2.177419,4694.699951
S2_profit_plus_good,85,3854.7000,56,56,4.800000,2.177419,4694.699951
S2_profit_plus_good,86,3854.7000,56,56,4.800000,2.177419,4694.699951
S2_profit_plus_good,87,2885.0693,42,42,3.600000,2.273244,3515.069295
S2_profit_plus_good,88,3854.7000,56,56,4.800000,2.177419,4694.699951
S2_profit_plus_good,89,3030.0267,44,44,3.771429,2.245964,3690.026704
S2_profit_plus_good,90,3089.5841,45,45,3.857143,2.119457,3764.584109
S2_profit_plus_good,91,3172.5711,46,46,3.942857,2.251951,3862.571102
S2_profit_plus_good,92,3239.9509,47,47,4.028571,2.281840,3944.950908
S2_profit_plus_good,93,2950.6803,43,43,3.685714,2.391594,3595.680256
S2_profit_plus_good,94,3854.7000,56,56,4.800000,2.177419,4694.699951
S2_profit_plus_good,95,2885.0693,42,42,3.600000,2.273244,3515.069295
S2_profit_plus_good,96,3170.2659,46,46,3.942857,2.323532,3860.265860
S2_profit_plus_good,97,2818.0077,41,41,3.514286,2.234634,3433.007746
S2_profit_plus_good,98,3159.3043,46,46,3.942857,2.192594,3849.304289
S2_profit_plus_good,99,2964.8009,43,43,3.685714,2.357143,3609.800903
S2_profit_plus_good,100,3170.2659,46,46,3.942857,2.323532,3860.265860
S2_profit_plus_good,101,3364.9704,49,49,4.200000,2.285019,4099.970369
S2_profit_plus_good,102,2816.6578,41,41,3.514286,2.418728,3431.657847
S2_profit_plus_good,103,3854.7000,56,56,4.800000,2.177419,4694.699951
S2_profit_plus_good,104,2953.5295,43,43,3.685714,2.422373,3598.529505
S2_profit_plus_good,105,3513.8281,51,51,4.371429,2.164253,4278.828064
S2_profit_plus_good,106,3854.7000,56,56,4.800000,2.177419,4694.699951
S2_profit_plus_good,107,3378.0581,49,49,4.200000,2.285247,4113.058095
S2_profit_plus_good,108,3019.1495,44,44,3.771429,2.256772,3679.149485
S2_profit_plus_good,109,2967.4392,43,43,3.685714,2.311291,3612.439172
