runID,mode,seedUsed,tardiness
287197,FLOW,1,0.000000
287197,FLOW,1,0.000000
287197,FLOW,1,0.000000
287197,FLOW,1,0.000000
287197,FLOW,1,0.000000
287197,FLOW,1,0.000000
287197,FLOW,1,0.000000
287197,FLOW,1,0.000000
287197,FLOW,1,0.000000
287197,FLOW,1,0.000000
287197,FLOW,1,0.000000
287197,FLOW,1,0.000000
287197,FLOW,1,0.000000
287197,FLOW,1,0.000000
287197,FLOW,1,0.000000
287197,FLOW,1,0.000000
287197,FLOW,1,0.000000
287197,FLOW,1,0.000000
287197,FLOW,1,0.000000
287197,FLOW,1,0.000000
287197,FLOW,1,0.000000
287197,FLOW,1,0.000000
287197,FLOW,1,0.000000
287197,FLOW,1,0.000000
287197,FLOW,1,3.431174
287197,FLOW,1,12.128016
287197,FLOW,1,32.241093
287197,FLOW,1,40.653358
287197,FLOW,1,40.333300
287197,FLOW,1,50.983216
287197,FLOW,1,71.194235
287197,FLOW,1,71.069819
287197,FLOW,1,80.013502
287197,FLOW,1,89.148495
287197,FLOW,1,108.614922
287197,FLOW,1,107.393438
287197,FLOW,1,115.997789
287197,FLOW,1,134.777614
