scenario,iter,profit,produced,good,th_per_hr,epp,J
S5_weighted,0,1944.3326,28,28,2.400000,2.238204,2001.409972
S5_weighted,1,2676.1842,39,39,3.342857,2.276906,3260.040729
S5_weighted,2,2664.3693,39,39,3.342857,2.209309,3288.783929
S5_weighted,3,2620.8056,38,38,3.257143,2.507973,3016.021563
S5_weighted,4,2753.4216,40,40,3.428571,2.214121,3424.948907
S5_weighted,5,2549.7293,37,37,3.171429,2.325812,3004.242326
S5_weighted,6,2624.6760,38,38,3.257143,2.202792,3203.000740
S5_weighted,7,2813.1805,41,41,3.514286,2.207887,3538.448459
S5_weighted,8,2335.6332,34,34,2.914286,2.176183,2729.923353
S5_weighted,9,2816.5149,41,41,3.514286,2.353293,3454.539024
S5_weighted,10,3014.4791,44,44,3.771429,2.404814,3771.590732
S5_weighted,11,2626.6156,38,38,3.257143,2.255070,3173.573814
S5_weighted,12,3029.9104,44,44,3.771429,2.306093,3846.254620
S5_weighted,13,3241.3088,47,47,4.028571,2.199759,4271.453181
S5_weighted,14,2967.2160,43,43,3.685714,2.251532,3766.296615
S5_weighted,15,3093.2966,45,45,3.857143,2.351376,3932.470947
S5_weighted,16,3241.2830,47,47,4.028571,2.279022,4223.870030
S5_weighted,17,2180.6075,32,32,2.742857,2.239971,2436.624690
S5_weighted,18,3651.2996,53,53,4.542857,2.334743,4900.453773
S5_weighted,19,3310.4111,48,48,4.114286,2.258401,4355.370366
S5_weighted,20,2477.0405,36,36,3.085714,2.233508,2936.935657
S5_weighted,21,3440.7163,50,50,4.285714,2.220892,4608.181283
S5_weighted,22,3576.7818,52,52,4.457143,2.236577,4834.835443
S5_weighted,23,3103.8018,45,45,3.857143,2.274328,3989.205135
S5_weighted,24,3292.4056,48,48,4.114286,2.320609,4300.040467
S5_weighted,25,3369.4238,49,49,4.200000,2.240374,4475.199375
S5_weighted,26,3311.7404,48,48,4.114286,2.183071,4401.897587
S5_weighted,27,2356.1777,34,34,2.914286,2.061412,2819.330731
S5_weighted,28,2757.1978,40,40,3.428571,2.333900,3356.857676
S5_weighted,29,3860.6173,56,56,4.800000,2.217088,5330.364474
S5_weighted,30,3089.4088,45,45,3.857143,2.389443,3905.743314
S5_weighted,31,3574.0770,52,52,4.457143,2.367736,4753.435423
S5_weighted,32,3314.7475,48,48,4.114286,2.325690,4319.333502
S5_weighted,33,3164.2831,46,46,3.942857,2.219967,4132.302860
S5_weighted,34,3505.0589,51,51,4.371429,2.241215,4710.329681
S5_weighted,35,3305.1342,48,48,4.114286,2.246163,4357.436162
S5_weighted,36,3308.0580,48,48,4.114286,2.239269,4364.496551
S5_weighted,37,3299.7413,48,48,4.114286,2.444188,4233.228279
S5_weighted,38,3382.9604,49,49,4.200000,2.368261,4412.003666
S5_weighted,39,3308.4092,48,48,4.114286,2.394406,4271.765549
