scenario,iter,profit,produced,good,th_per_hr,epp,J
S6_weighted,91,3514.2226,51,51,4.371429,2.171701,2438.181055
S6_weighted,92,3234.5567,47,47,4.028571,2.222252,1977.854263
S6_weighted,93,2962.1591,43,43,3.685714,2.221645,1586.185142
S6_weighted,94,3516.0728,51,51,4.371429,2.195859,2411.042163
S6_weighted,95,2421.4139,35,35,3.000000,2.374004,622.609085
S6_weighted,96,3230.2181,47,47,4.028571,2.381665,1782.220042
S6_weighted,97,2888.3634,42,42,3.600000,2.271554,1422.498150
S6_weighted,98,2748.7603,40,40,3.428571,2.331097,1151.443928
S6_weighted,99,2811.3927,41,41,3.514286,2.236850,1357.172973
S6_weighted,100,3713.7946,54,54,4.628571,2.165885,2734.732678
S6_weighted,101,3713.7946,54,54,4.628571,2.165885,2734.732678
S6_weighted,102,3238.5536,47,47,4.028571,2.239807,1960.785068
S6_weighted,103,3106.0587,45,45,3.857143,2.216100,1796.739110
S6_weighted,104,3713.7946,54,54,4.628571,2.165885,2734.732678
S6_weighted,105,2839.9214,41,41,3.514286,2.322124,1283.372988
S6_weighted,106,3717.5841,54,54,4.628571,2.265035,2619.541720
S6_weighted,107,3717.5841,54,54,4.628571,2.265035,2619.541720
S6_weighted,108,3032.3100,44,44,3.771429,2.142581,1781.212785
S6_weighted,109,3717.5841,54,54,4.628571,2.265035,2619.541720
S6_weighted,110,3375.2591,49,49,4.200000,2.193917,2212.558554
S6_weighted,111,2975.7292,43,43,3.685714,2.148614,1687.392472
S6_weighted,112,3378.7363,49,49,4.200000,2.202377,2205.884394
S6_weighted,113,2551.4089,37,37,3.171429,2.158275,1071.478356
S6_weighted,114,3031.2558,44,44,3.771429,2.095657,1836.467993
S6_weighted,115,2964.8670,43,43,3.685714,2.202095,1612.353434
S6_weighted,116,2885.3297,42,42,3.600000,2.421927,1239.017081
S6_weighted,117,3657.8573,53,53,4.542857,2.161253,2654.353152
S6_weighted,118,3713.7946,54,54,4.628571,2.165885,2734.732678
S6_weighted,119,3172.3015,46,46,3.942857,2.233410,1872.209409
S6_weighted,120,2816.6528,41,41,3.514286,2.438801,1120.091583
S6_weighted,121,3713.7946,54,54,4.628571,2.165885,2734.732678
S6_weighted,122,3713.7946,54,54,4.628571,2.165885,2734.732678
S6_weighted,123,3107.8925,45,45,3.857143,2.253788,1753.347123
S6_weighted,124,2808.5766,41,41,3.514286,2.266732,1318.498200
S6_weighted,125,2888.3634,42,42,3.600000,2.271554,1422.498150
S6_weighted,126,3240.7108,47,47,4.028571,2.226343,1979.099716
S6_weighted,127,3713.7946,54,54,4.628571,2.165885,2734.732678
S6_weighted,128,3713.7946,54,54,4.628571,2.165885,2734.732678
S6_weighted,129,3713.7946,54,54,4.628571,2.165885,2734.732678
S6_weighted,130,2662.4424,39,39,3.342857,2.428561,918.169534
S6_weighted,131,3380.0771,49,49,4.200000,2.297241,2093.388267
S6_weighted,132,3713.7946,54,54,4.628571,2.165885,2734.732678
S6_weighted,133,2888.3634,42,42,3.600000,2.271554,1422.498150
S6_weighted,134,3713.7946,54,54,4.628571,2.165885,2734.732678
S6_weighted,135,3098.0926,45,45,3.857143,2.289904,1700.207435
S6_weighted,136,3234.5567,47,47,4.028571,2.222252,1977.854263
S6_weighted,137,3369.0868,49,49,4.200000,2.228262,2165.172381
S6_weighted,138,3586.9112,52,52,4.457143,2.130166,2590.711510
S6_weighted,139,3315.1125,48,48,4.114286,2.180244,2138.820133
S6_weighted,140,2888.3634,42,42,3.600000,2.271554,1422.498150
S6_weighted,141,3519.1620,51,51,4.371429,2.181433,2431.442746
S6_weighted,142,3519.1620,51,51,4.371429,2.181433,2431.442746
S6_weighted,143,3713.7946,54,54,4.628571,2.165885,2734.732678
S6_weighted,144,3172.3015,46,46,3.942857,2.233410,1872.209409
S6_weighted,145,3854.7000,56,56,4.800000,2.177419,2921.797561
S6_weighted,146,2146.2990,31,31,2.657143,2.020519,651.675682
S6_weighted,147,3854.7000,56,56,4.800000,2.177419,2921.797561
S6_weighted,148,2260.3326,33,33,2.828571,2.173318,642.351222
S6_weighted,149,3311.0438,48,48,4.114286,2.253026,2047.412472
S6_weighted,150,3713.7946,54,54,4.628571,2.165885,2734.732678
S6_weighted,151,2962.1591,43,43,3.685714,2.221645,1586.185142
S6_weighted,152,2900.6000,42,42,3.600000,2.393731,1288.123414
S6_weighted,153,3030.0267,44,44,3.771429,2.245964,1654.870185
S6_weighted,154,3854.7000,56,56,4.800000,2.177419,2921.797561
S6_weighted,155,3854.7000,56,56,4.800000,2.177419,2921.797561
S6_weighted,156,3098.0926,45,45,3.857143,2.289904,1700.207435
S6_weighted,157,3854.7000,56,56,4.800000,2.177419,2921.797561
S6_weighted,158,3172.5711,46,46,3.942857,2.251951,1850.229852
S6_weighted,159,3369.0868,49,49,4.200000,2.228262,2165.172381
S6_weighted,160,3159.3043,46,46,3.942857,2.192594,1908.191011
S6_weighted,161,2614.1411,38,38,3.257143,2.331472,956.374702
S6_weighted,162,3309.2524,48,48,4.114286,2.217072,2088.765892
S6_weighted,163,3854.7000,56,56,4.800000,2.177419,2921.797561
S6_weighted,164,3651.8270,53,53,4.542857,2.206874,2593.577633
S6_weighted,165,3373.9076,49,49,4.200000,2.227193,2171.276021
S6_weighted,166,3854.7000,56,56,4.800000,2.177419,2921.797561
S6_weighted,167,2953.5295,43,43,3.685714,2.422373,1336.681383
S6_weighted,168,3854.7000,56,56,4.800000,2.177419,2921.797561
S6_weighted,169,3854.7000,56,56,4.800000,2.177419,2921.797561
S6_weighted,170,3252.4642,47,47,4.028571,2.205676,2015.653206
S6_weighted,171,3513.8281,51,51,4.371429,2.164253,2446.724633
S6_weighted,172,3172.5711,46,46,3.942857,2.251951,1850.229852
S6_weighted,173,3854.7000,56,56,4.800000,2.177419,2921.797561
S6_weighted,174,3854.7000,56,56,4.800000,2.177419,2921.797561
S6_weighted,175,3713.7946,54,54,4.628571,2.165885,2734.732678
S6_weighted,176,3089.5841,45,45,3.857143,2.119457,1896.235889
S6_weighted,177,3252.4642,47,47,4.028571,2.205676,2015.653206
S6_weighted,178,3513.6321,51,51,4.371429,2.224373,2374.384491
S6_weighted,179,2758.9699,40,40,3.428571,2.167844,1357.556839
S6_weighted,180,3513.8281,51,51,4.371429,2.164253,2446.724633
S6_weighted,181,2805.4956,41,41,3.514286,2.362951,1199.954672
S6_weighted,182,2900.6000,42,42,3.600000,2.393731,1288.123414
S6_weighted,183,3444.7276,50,50,4.285714,2.129561,2389.254090
S6_weighted,184,3442.5857,50,50,4.285714,2.233107,2262.857595
S6_weighted,185,3296.6706,48,48,4.114286,2.157117,2148.130063
S6_weighted,186,2610.4531,38,38,3.257143,2.484695,768.819166
S6_weighted,187,2956.3327,43,43,3.685714,2.292500,1495.332140
S6_weighted,188,3170.2659,46,46,3.942857,2.323532,1762.027386
S6_weighted,189,3854.7000,56,56,4.800000,2.177419,2921.797561
S6_weighted,190,2956.3327,43,43,3.685714,2.292500,1495.332140
S6_weighted,191,3713.0005,54,54,4.628571,2.207446,2684.065470
S6_weighted,192,3854.7000,56,56,4.800000,2.177419,2921.797561
S6_weighted,193,3515.6731,51,51,4.371429,2.262835,2330.270559
S6_weighted,194,3504.9089,51,51,4.371429,2.310760,2261.996308
S6_weighted,195,3161.1049,46,46,3.942857,2.238898,1854.427114
S6_weighted,196,3252.4642,47,47,4.028571,2.205676,2015.653206
S6_weighted,197,2614.1411,38,38,3.257143,2.331472,956.374702
S6_weighted,198,3231.2621,47,47,4.028571,2.350276,1820.931279
S6_weighted,199,3098.9361,45,45,3.857143,2.337723,1643.669047
S6_weighted,200,2885.0693,42,42,3.600000,2.273244,1417.176238
S6_weighted,201,3098.9361,45,45,3.857143,2.337723,1643.669047
S6_weighted,202,3170.2659,46,46,3.942857,2.323532,1762.027386
S6_weighted,203,3651.8270,53,53,4.542857,2.206874,2593.577633
S6_weighted,204,3176.8012,46,46,3.942857,2.230457,1880.252440
S6_weighted,205,3096.1744,45,45,3.857143,2.258638,1735.808575
S6_weighted,206,3172.5711,46,46,3.942857,2.251951,1850.229852
S6_weighted,207,3168.7196,46,46,3.942857,2.438334,1622.718263
S6_weighted,208,2683.3427,39,39,3.342857,2.234749,1171.643633
S6_weighted,209,2816.6578,41,41,3.514286,2.418728,1144.184478
S6_weighted,210,2885.7458,42,42,3.600000,2.337411,1340.852243
S6_weighted,211,3176.8012,46,46,3.942857,2.230457,1880.252440
S6_weighted,212,3854.7000,56,56,4.800000,2.177419,2921.797561
S6_weighted,213,3048.3845,44,44,3.771429,2.163292,1772.434065
S6_weighted,214,3854.7000,56,56,4.800000,2.177419,2921.797561
S6_weighted,215,3167.0393,46,46,3.942857,2.222364,1880.202827
S6_weighted,216,2974.1616,43,43,3.685714,2.232968,1584.599604
S6_weighted,217,3854.7000,56,56,4.800000,2.177419,2921.797561
S6_weighted,218,3028.4528,44,44,3.771429,2.223428,1680.338708
S6_weighted,219,3513.6321,51,51,4.371429,2.224373,2374.384491
S6_weighted,220,3854.7000,56,56,4.800000,2.177419,2921.797561
S6_weighted,221,2966.7054,43,43,3.685714,2.160799,1663.746678
S6_weighted,222,2481.0427,36,36,3.085714,2.262195,846.408893
S6_weighted,223,2970.1513,43,43,3.685714,2.263746,1543.656049
S6_weighted,224,3854.7000,56,56,4.800000,2.177419,2921.797561
S6_weighted,225,3643.5909,53,53,4.542857,2.270316,2509.211695
S6_weighted,226,3037.7530,44,44,3.771429,2.224168,1688.751692
S6_weighted,227,3160.9977,46,46,3.942857,2.254923,1835.090680
S6_weighted,228,3854.7000,56,56,4.800000,2.177419,2921.797561
S6_weighted,229,3375.7599,49,49,4.200000,2.225171,2175.554585
S6_weighted,230,2686.5761,39,39,3.342857,2.116286,1317.032492
S6_weighted,231,2901.9310,42,42,3.600000,2.247711,1464.677304
S6_weighted,232,3039.0771,44,44,3.771429,2.226167,1687.676688
S6_weighted,233,3444.7276,50,50,4.285714,2.129561,2389.254090
S6_weighted,234,3369.0868,49,49,4.200000,2.228262,2165.172381
S6_weighted,235,3165.8915,46,46,3.942857,2.215480,1887.314951
S6_weighted,236,3854.7000,56,56,4.800000,2.177419,2921.797561
S6_weighted,237,2615.8831,38,38,3.257143,2.108665,1225.485380
S6_weighted,238,2819.6510,41,41,3.514286,2.231279,1372.116770
S6_weighted,239,3854.7000,56,56,4.800000,2.177419,2921.797561
S6_weighted,240,3373.9076,49,49,4.200000,2.227193,2171.276021
S6_weighted,241,3854.7000,56,56,4.800000,2.177419,2921.797561
S6_weighted,242,3508.8224,51,51,4.371429,2.259839,2327.015484
S6_weighted,243,2885.0693,42,42,3.600000,2.273244,1417.176238
S6_weighted,244,2966.7054,43,43,3.685714,2.160799,1663.746678
S6_weighted,245,2974.1616,43,43,3.685714,2.232968,1584.599604
S6_weighted,246,2967.9596,43,43,3.685714,2.128066,1704.280337
S6_weighted,247,3587.0656,52,52,4.457143,2.199962,2507.111247
S6_weighted,248,3028.6474,44,44,3.771429,2.281345,1611.033367
S6_weighted,249,3369.0868,49,49,4.200000,2.228262,2165.172381
S6_weighted,250,3445.9949,50,50,4.285714,2.230889,2268.928271
S6_weighted,251,3373.9076,49,49,4.200000,2.227193,2171.276021
S6_weighted,252,3365.7701,49,49,4.200000,2.264025,2118.940426
S6_weighted,253,2974.1616,43,43,3.685714,2.232968,1584.599604
S6_weighted,254,3159.3043,46,46,3.942857,2.192594,1908.191011
S6_weighted,255,3854.7000,56,56,4.800000,2.177419,2921.797561
S6_weighted,256,2892.2675,42,42,3.600000,2.209400,1500.987462
S6_weighted,257,2674.7068,39,39,3.342857,2.385146,982.532142
S6_weighted,258,3854.7000,56,56,4.800000,2.177419,2921.797561
S6_weighted,259,3854.7000,56,56,4.800000,2.177419,2921.797561
S6_weighted,260,3436.7968,50,50,4.285714,2.277856,2203.369122
S6_weighted,261,3096.1744,45,45,3.857143,2.258638,1735.808575
S6_weighted,262,2816.9825,41,41,3.514286,2.571477,961.210036
S6_weighted,263,2819.6510,41,41,3.514286,2.231279,1372.116770
S6_weighted,264,3032.8830,44,44,3.771429,2.338172,1547.076554
S6_weighted,265,3513.8281,51,51,4.371429,2.164253,2446.724633
S6_weighted,266,3636.8751,53,53,4.542857,2.256512,2519.060399
S6_weighted,267,3248.3882,47,47,4.028571,2.228970,1983.624235
S6_weighted,268,3444.7276,50,50,4.285714,2.129561,2389.254090
S6_weighted,269,3854.7000,56,56,4.800000,2.177419,2921.797561
S6_weighted,270,3854.7000,56,56,4.800000,2.177419,2921.797561
S6_weighted,271,3369.0868,49,49,4.200000,2.228262,2165.172381
S6_weighted,272,2885.0693,42,42,3.600000,2.273244,1417.176238
S6_weighted,273,3035.2057,44,44,3.771429,2.362842,1519.795081
S6_weighted,274,3854.7000,56,56,4.800000,2.177419,2921.797561
S6_weighted,275,3854.7000,56,56,4.800000,2.177419,2921.797561
S6_weighted,276,3159.3043,46,46,3.942857,2.192594,1908.191011
S6_weighted,277,3017.1816,44,44,3.771429,2.296601,1581.260058
S6_weighted,278,3167.4654,46,46,3.942857,2.259939,1835.538066
S6_weighted,279,2749.5234,40,40,3.428571,2.468949,986.784163
S6_weighted,280,3369.0868,49,49,4.200000,2.228262,2165.172381
S6_weighted,281,3309.4743,48,48,4.114286,2.292581,1998.376588
S6_weighted,282,3161.1049,46,46,3.942857,2.238898,1854.427114
S6_weighted,283,2819.6510,41,41,3.514286,2.231279,1372.116770
S6_weighted,284,3159.3043,46,46,3.942857,2.192594,1908.191011
S6_weighted,285,3854.7000,56,56,4.800000,2.177419,2921.797561
S6_weighted,286,3308.0658,48,48,4.114286,2.224662,2078.471776
S6_weighted,287,3854.7000,56,56,4.800000,2.177419,2921.797561
S6_weighted,288,3513.6321,51,51,4.371429,2.224373,2374.384491
S6_weighted,289,3713.0005,54,54,4.628571,2.207446,2684.065470
S6_weighted,290,3513.6321,51,51,4.371429,2.224373,2374.384491
S6_weighted,291,3242.6621,47,47,4.028571,2.159830,2060.866012
S6_weighted,292,3309.4743,48,48,4.114286,2.292581,1998.376588
S6_weighted,293,3312.5481,48,48,4.114286,2.222481,2085.571332
S6_weighted,294,3159.3043,46,46,3.942857,2.192594,1908.191011
S6_weighted,295,2966.8105,43,43,3.685714,2.132820,1697.426469
S6_weighted,296,2810.7866,41,41,3.514286,2.421269,1135.263261
S6_weighted,297,3172.5711,46,46,3.942857,2.251951,1850.229852
S6_weighted,298,2740.4377,40,40,3.428571,2.430788,1023.491595
S6_weighted,299,2953.5295,43,43,3.685714,2.422373,1336.681383
S6_weighted,300,3312.5481,48,48,4.114286,2.222481,2085.571332
S6_weighted,301,2974.1616,43,43,3.685714,2.232968,1584.599604
S6_weighted,302,2474.9467,36,36,3.085714,2.216025,895.716475
S6_weighted,303,2818.0077,41,41,3.514286,2.234634,1366.447402
S6_weighted,304,3854.7000,56,56,4.800000,2.177419,2921.797561
S6_weighted,305,3430.3877,50,50,4.285714,2.352939,2106.860918
S6_weighted,306,3854.7000,56,56,4.800000,2.177419,2921.797561
S6_weighted,307,3854.7000,56,56,4.800000,2.177419,2921.797561
