scenario,iter,profit,produced,good,th_per_hr,epp,J
S1_profit,93,1594.8730,23,23,3.450000,2.630787,1594.872974
S1_profit,94,2291.0336,33,33,4.950000,2.298958,2291.033595
S1_profit,95,1666.2640,24,24,3.600000,2.289335,1666.263989
S1_profit,96,2221.1732,32,32,4.800000,2.353351,2221.173192
S1_profit,97,902.2235,13,13,1.950000,2.392772,902.223491
S1_profit,98,1944.6586,28,28,4.200000,2.191628,1944.658602
S1_profit,99,1318.9991,19,19,2.850000,2.315988,1318.999059
S1_profit,100,2292.6619,33,33,4.950000,2.101589,2292.661892
S1_profit,101,1596.2929,23,23,3.450000,2.383848,1596.292874
S1_profit,102,1666.9020,24,24,3.600000,2.182998,1666.902010
S1_profit,103,1944.0518,28,28,4.200000,2.278316,1944.051791
S1_profit,104,2499.7396,36,36,5.400000,2.251156,2499.739598
S1_profit,105,2012.6439,29,29,4.350000,2.393939,2012.643945
S1_profit,106,1389.0522,20,20,3.000000,2.189552,1389.052239
S1_profit,107,1597.3405,23,23,3.450000,2.201645,1597.340543
S1_profit,108,2499.7396,36,36,5.400000,2.251156,2499.739598
S1_profit,109,1943.5812,28,28,4.200000,2.345544,1943.581193
S1_profit,110,2291.3983,33,33,4.950000,2.254757,2291.398251
S1_profit,111,2499.7396,36,36,5.400000,2.251156,2499.739598
S1_profit,112,2499.7396,36,36,5.400000,2.251156,2499.739598
S1_profit,113,2499.7396,36,36,5.400000,2.251156,2499.739598
S1_profit,114,2499.7396,36,36,5.400000,2.251156,2499.739598
S1_profit,115,1318.9991,19,19,2.850000,2.315988,1318.999059
S1_profit,116,2499.7396,36,36,5.400000,2.251156,2499.739598
S1_profit,117,1319.6102,19,19,2.850000,2.187331,1319.610177
S1_profit,118,2499.7396,36,36,5.400000,2.251156,2499.739598
S1_profit,119,2499.7396,36,36,5.400000,2.251156,2499.739598
S1_profit,120,2082.9225,30,30,4.500000,2.277002,2082.922487
S1_profit,121,2012.6136,29,29,4.350000,2.398120,2012.613634
S1_profit,122,2499.7396,36,36,5.400000,2.251156,2499.739598
S1_profit,123,2499.7396,36,36,5.400000,2.251156,2499.739598
S1_profit,124,2221.3397,32,32,4.800000,2.332537,2221.339701
S1_profit,125,2152.5074,31,31,4.650000,2.257111,2152.507387
S1_profit,126,2290.2760,33,33,4.950000,2.390791,2290.275971
S1_profit,127,2221.3397,32,32,4.800000,2.332537,2221.339701
S1_profit,128,1665.6088,24,24,3.600000,2.398540,1665.608760
S1_profit,129,2499.7396,36,36,5.400000,2.251156,2499.739598
S1_profit,130,1250.0309,18,18,2.700000,2.215356,1250.030896
S1_profit,131,1318.9991,19,19,2.850000,2.315988,1318.999059
S1_profit,132,2499.7396,36,36,5.400000,2.251156,2499.739598
S1_profit,133,2291.3983,33,33,4.950000,2.254757,2291.398251
S1_profit,134,1943.9172,28,28,4.200000,2.297540,1943.917220
S1_profit,135,2499.7396,36,36,5.400000,2.251156,2499.739598
S1_profit,136,2151.8245,31,31,4.650000,2.345225,2151.824504
S1_profit,137,2499.7396,36,36,5.400000,2.251156,2499.739598
S1_profit,138,2290.9975,33,33,4.950000,2.303329,2290.997540
S1_profit,139,2499.7396,36,36,5.400000,2.251156,2499.739598
S1_profit,140,2499.7396,36,36,5.400000,2.251156,2499.739598
S1_profit,141,2360.2199,34,34,5.100000,2.327074,2360.219875
S1_profit,142,2499.7396,36,36,5.400000,2.251156,2499.739598
S1_profit,143,1942.8975,28,28,4.200000,2.443209,1942.897539
S1_profit,144,2012.6247,29,29,4.350000,2.396590,2012.624720
S1_profit,145,2499.7396,36,36,5.400000,2.251156,2499.739598
S1_profit,146,2499.7396,36,36,5.400000,2.251156,2499.739598
S1_profit,147,1528.1258,22,22,3.300000,2.158945,1528.125805
